title_pt;title_en;year;rating;genre;sinopse;sinopse_clean;title_pt_encoded;Cluster
Barbie;Barbie;2023;7.4;Aventura;Viver na Terra da Barbie é ser um ser perfeito em um lugar perfeito. A menos que você tenha uma crise existencial completa. Ou que você seja um Ken.;Viver Terra Barbie perfeito lugar perfeito. A menos crise existencial completa. Ou Ken.;39;8
Um Sonho de Liberdade;1. The Shawshank Redemption;1994;9.3;Drama;Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.;Dois homens presos reúnem longo vários anos, encontrando consolo eventual redenção através atos decência comum.;236;3
O Poderoso Chefão;2. The Godfather;1972;9.2;Policial;O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.;O patriarca idoso dinastia crime organizado transfere controle império clandestino filho relutante.;157;2
Batman: O Cavaleiro das Trevas;3. The Dark Knight;2008;9.0;Ação;Quando a ameaça conhecida como O Coringa surge de seu passado, causa estragos e caos nas pessoas de Gotham. O Cavaleiro das Trevas deve aceitar um dos maiores testes para combater a injustiça.;Quando ameaça conhecida O Coringa surge passado, causa estragos caos pessoas Gotham. O Cavaleiro Trevas deve aceitar maiores testes combater injustiça.;43;7
O Poderoso Chefão II;4. The Godfather Part II;1974;9.0;Policial;Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.;Em 1950, Michael Corleone, agora frente família, tenta expandir negócio crime Las Vegas, Los Angeles Cuba. Paralelamente, revelada história Vito Corleone, saiu Sicília chegou Nova Iorque.;158;4
12 Homens e uma Sentença;5. 12 Angry Men;1957;9.0;Policial;O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.;O julgamento assassinato Nova Iorque frustrado único membro, cujo ceticismo força júri considerar cuidadosamente evidências antes dar veredito.;2;8
A Lista de Schindler;6. Schindler's List;1993;9.0;Biografia;Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a ser preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.;Na Polônia ocupada alemães durante Segunda Guerra Mundial, industrial Oskar Schindler começa preocupar trabalhadores judeus testemunhar perseguição nazistas.;12;1
O Senhor dos Anéis: O Retorno do Rei;7. The Lord of the Rings: The Return of the King;2003;9.0;Ação;Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.;Gandalf Aragorn lideram Mundo Homens contra exército Sauron desviar olhar Frodo Sam aproximam á Montanha Perdição Um Anel.;167;0
Pulp Fiction - Tempo de Violência;8. Pulp Fiction;1994;8.9;Policial;As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.;As vidas dois assassinos máfia, boxeador, gângster esposa, par bandidos entrelaçam quatro histórias violência redenção.;196;2
O Senhor dos Anéis: A Sociedade do Anel;9. The Lord of the Rings: The Fellowship of the Ring;2001;8.8;Ação;Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.;Um manso hobbit Condado oito companheiros partem jornada destruir poderoso Um Anel salvar Terra-média Trevas.;165;6
